Sample_idx,timestamp_ms,adjusted_game_time,player_id,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY,linErr,hypErr,filtErr,linRMSE,hypRMSE,filtRMSE
54,6.48,2876.57,201939,21.8708,6.8681,19.3599,6.9285,22.0261,6.4811,21.9213,6.7778,2.5116,0.417,0.1035,10.2634,0.7271,0.3989
55,6.6,2876.45,201939,21.7276,6.2596,20.985,5.9014,21.3719,5.8015,21.5131,6.3042,0.8245,0.58,0.2191,10.2634,0.7271,0.3989
56,6.72,2876.33,201939,21.4611,5.4979,27.8061,3.2173,21.5488,5.1787,21.4125,5.9502,6.7424,0.331,0.4549,10.2634,0.7271,0.3989
57,6.84,2876.21,201939,21.3584,5.0218,22.6386,4.0444,21.2962,4.5991,21.2235,5.4204,1.6106,0.4273,0.4208,10.2634,0.7271,0.3989
58,6.96,2876.09,201939,21.284,4.9342,18.3056,7.014,21.9033,6.16,21.8476,5.5115,3.6327,1.3734,0.8068,10.2634,0.7271,0.3989
59,7.08,2875.97,201939,21.22,5.0409,18.3489,6.6888,21.1914,5.9017,21.5384,5.4556,3.3104,0.8613,0.5228,10.2634,0.7271,0.3989
60,7.2,2875.85,201939,21.1865,5.1132,24.0585,3.6099,21.3852,4.6645,21.3421,5.2028,3.2417,0.4907,0.1795,10.2634,0.7271,0.3989
61,7.32,2875.73,201939,21.2134,5.1756,27.4691,1.8205,21.4853,4.3414,21.2951,5.0126,7.0986,0.8774,0.1823,10.2634,0.7271,0.3989
62,7.44,2875.61,201939,21.1951,5.1536,21.8235,4.2232,20.9308,4.611,21.0106,4.8596,1.1227,0.6035,0.347,10.2634,0.7271,0.3989
63,7.56,2875.49,201939,21.1009,4.9525,22.3951,5.1741,21.5558,5.4229,21.3804,5.1672,1.313,0.6543,0.3525,10.2634,0.7271,0.3989
64,7.68,2875.37,201939,21.0559,4.5773,29.7927,0.791,21.1992,4.427,21.1255,5.0273,9.5219,0.2076,0.4553,10.2634,0.7271,0.3989
65,7.8,2875.25,201939,21.1008,4.3296,18.7742,5.9403,20.9126,5.0913,21.0803,4.8861,2.8297,0.7846,0.5568,10.2634,0.7271,0.3989
66,7.92,2875.13,201939,21.1913,4.2078,23.6849,1.9662,21.2553,3.3526,21.0201,4.3744,3.3531,0.8576,0.2389,10.2634,0.7271,0.3989
67,8.04,2875.01,201939,21.191,4.0754,20.0383,4.3692,20.667,4.0261,20.7918,4.1658,1.1896,0.5263,0.4093,10.2634,0.7271,0.3989
